番号,遺跡名,所在地,墳形,所属古墳群,円筒埴輪,円筒形土製品,埴輪壺,x,y,ｚ
1,長柄桜山１号,神奈川県逗子市,前方後円墳,長柄桜山古墳群,〇,"-",〇,35.28700424,139.5845362,121.464477539062
2,長柄桜山２号,神奈川県逗子市,前方後円墳,長柄桜山古墳群,〇,"-",〇,35.28712881,139.5792999,92.227424621582
3,秋葉山２号,神奈川県海老名市,前方後円墳,秋葉山古墳群,"-",〇,〇,35.47011138,139.4040521,74.3295822143555
4,瓢簞塚,神奈川県海老名市,前方後円墳,上浜田古墳群,"-",〇,"-",35.44799853,139.4016984,65.5586853027344
5,小金塚,神奈川県伊勢原市,円墳,"-",〇,"-","-",35.41048667,139.3361915,34.9190826416016
6,倉賀野浅間山,群馬県高崎市,前方後円墳,"-",〇,"-","-",36.29891624,139.0337392,90.4664077758789
7,大鶴巻,群馬県高崎市,前方後円墳,"-",〇,"-","-",36.29488522,139.0383048,82.5379638671875
8,庚申塚,群馬県高崎市,円墳,"-",〇,"-","-",36.28837429,139.1377215,59.9563484191895
9,下佐野大山,群馬県高崎市,円墳,"-",〇,"-","-",36.289743,139.097353,71.1671600341797
10,芝根７号,群馬県佐波郡玉村町,前方後円墳,川井古墳群,〇,"-","-",36.26065456,139.3615819,33.2000007629395
11,下郷天神塚,群馬県佐波郡玉村町,前方後円墳,"-",〇,"-",〇,36.29748328,139.3334359,49.3902740478516
12,朝子塚,群馬県太田市,前方後円墳,"-",〇,"-",〇,36.30197532,139.3675414,71.624885559082
13,別所茶臼山,群馬県太田市,前方後円墳,"-",〇,"-","-",36.29690235,139.0321952,84.8530426025391
14,太田八幡山,群馬県太田市,前方後円墳,"-",〇,"-","-",36.29308915,139.0360053,83.9087142944336
15,長辺寺山,茨城県桜川市,前方後円墳,"-",〇,"-","-",36.3701036,140.1195044,140.649688720703
16,佐自塚,茨城県石岡市,前方後円墳,"-",〇,"-",〇,36.25696074,140.1996288,30
17,星神社,茨城県常陸太田市,前方後円墳,"-","-",〇,〇,36.51163294,140.4834938,12.4175386428833
18,常陸鏡塚,茨城県東茨城郡大洗町,前方後円墳,磯浜古墳群,〇,"-",〇,36.31616473,140.5703444,26.0100727081299
19,大洗車塚,茨城県東茨城郡大洗町,円墳,磯浜古墳群,〇,"-",〇,36.31736852,140.5703829,32.640796661377
20,葦間山,茨城県筑西市,前方後円墳,"-",〇,"-",〇,36.28877079,139.9986534,28.5039710998535
21,兜塚,茨城県小美玉市,前方後円墳,"-",〇,"-",〇,36.109393,140.403267,26.4033184051514
22,羽黒,茨城県小美玉市,前方後円墳,"-",〇,"-",〇,36.20739076,140.3156814,19.8615207672119
23,大方２号,茨城県常陸太田市,前方後円墳,大方古墳群,〇,"-","-",36.54361847,140.4696732,39.1376991271973
24,柏熊１号,千葉県香取郡多古町,前方後円墳,柏熊古墳群,〇,"-",〇,35.780916,140.510277,39.3970947265625
25,小曾根浅間山,栃木県足利市,前方後円墳,小曾根古墳群,〇,"-","-",36.27524775,139.478123,26.1563701629639
26,下侍塚,栃木県大田原市,前方後方墳,"-",〇,"-",〇,36.81314717,140.1228709,144.046569824219
