遺跡名,x,y
長柄桜山１号,35.28700424,139.5845362
長柄桜山２号,35.28712881,139.5792999
秋葉山２号,35.47011138,139.4040521
上浜田７号,35.44799853,139.4016984
小金塚,35.41048667,139.3361915
倉賀野浅間山,36.29891624,139.0337392
大鶴巻,36.29488522,139.0383048
芝根７号,36.28837429,139.1377215
下郷天神塚,36.289743,139.097353
朝子塚,36.26065456,139.3615819
別所茶臼山,36.29748328,139.3334359
太田八幡山,36.30197532,139.3675414
庚申塚,36.29690235,139.0321952
下佐野大山,36.29308915,139.0360053
小曾根浅間山,36.27524775,139.478123
長辺寺山,36.3701036,140.1195044
佐自塚,36.25696074,140.1996288
星神社,36.51163294,140.4834938
常陸鏡塚,36.31616473,140.5703444
大洗車塚,36.31736852,140.5703829
葦間山,36.28877079,139.9986534
兜塚,36.109393,140.403267
羽黒,36.20739076,140.3156814
大方２号,36.54361847,140.4696732
柏熊１号,35.780916,140.510277
下侍塚,36.81314717,140.1228709
